idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
971348707,"Seyfried, Gerhard",1948,,München,,Künstler; Comiczeichner; Autor,115834168
973940352,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,11100618X
967745837,"Bichelberger, Roger",1938-11-23,2018-08-10,Alsting,,Schriftsteller,118939149
971799105,"Kittel, Manfred",1962,,Großhaslach,,Historiker; Politologe,131995596
971689474,"Marcuse, Herbert",1898-07-19,1979-07-29,Berlin,Starnberg,Philosoph; Politologe; Soziologe,118577638
967172519,"Rudelius, Wolfgang",1947,,Frankfurt am Main,,Schriftsteller; Romancier; Lyriker; Zeichner; Fotograf,124805132
965718808,"Busche, Jürgen",1944-10-09,2024-06-29,Bad Belzig,Berlin,Chefredakteur; Germanist,12000478X
969209703,"Verheyen, Nina",1975,,Köln,,Historikerin,128462582
1192019202,"Verheyen, Nina",1975,,Köln,,Historikerin,128462582
966489470,"Nooteboom, Cees",1933-07-31,,Den Haag,,Schriftsteller; Übersetzer; Essayist; Journalist,119049422
965205509,"Wesel, Uwe",1933-02-02,2023-09-11,Hamburg,Berlin,Jurist; Rechtsanwalt,11569689X
962178918,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,11100618X
961476265,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
963497936,"Heider, Ulrike",1947,,Frankfurt am Main,,Schriftstellerin; Journalistin,1046509918
961819642,"Langguth, Gerd",1946-05-18,2013-05-12,Wertheim,Köln,Politologe; Abgeordneter; Politiker,120502178
962894206,"Lodge, David",1935,,London,,Schriftsteller; Literaturwissenschaftler,118915185
95901425X,"Reimer, Uwe",1947-12-15,,Lüneburg,,Lehrer,120942089
959007652,"Konsalik, Heinz G.",1921-05-29,1999-10-02,Köln,Salzburg,Schriftsteller; Dramaturg; Redakteur; Drehbuchautor,11856515X
